"Step","Group: pythia-1b - eval_n@0.05","Group: pythia-1b - eval_n@0.05__MIN","Group: pythia-1b - eval_n@0.05__MAX","Group: pythia-410m - eval_n@0.05","Group: pythia-410m - eval_n@0.05__MIN","Group: pythia-410m - eval_n@0.05__MAX","Group: pythia-160m - eval_n@0.05","Group: pythia-160m - eval_n@0.05__MIN","Group: pythia-160m - eval_n@0.05__MAX","Group: sfirah-d15 - eval_n@0.05","Group: sfirah-d15 - eval_n@0.05__MIN","Group: sfirah-d15 - eval_n@0.05__MAX","Group: pythia-1.4b - eval_n@0.05","Group: pythia-1.4b - eval_n@0.05__MIN","Group: pythia-1.4b - eval_n@0.05__MAX","Group: sfirah-d9 - eval_n@0.05","Group: sfirah-d9 - eval_n@0.05__MIN","Group: sfirah-d9 - eval_n@0.05__MAX","Group: sfirah-d24 - eval_n@0.05","Group: sfirah-d24 - eval_n@0.05__MIN","Group: sfirah-d24 - eval_n@0.05__MAX","Group: sfirah-d21 - eval_n@0.05","Group: sfirah-d21 - eval_n@0.05__MIN","Group: sfirah-d21 - eval_n@0.05__MAX","Group: pythia-70m - eval_n@0.05","Group: pythia-70m - eval_n@0.05__MIN","Group: pythia-70m - eval_n@0.05__MAX","Group: sfirah-w1024 - eval_n@0.05","Group: sfirah-w1024 - eval_n@0.05__MIN","Group: sfirah-w1024 - eval_n@0.05__MAX","Group: sfirah-w512 - eval_n@0.05","Group: sfirah-w512 - eval_n@0.05__MIN","Group: sfirah-w512 - eval_n@0.05__MAX","Group: sfirah-w256 - eval_n@0.05","Group: sfirah-w256 - eval_n@0.05__MIN","Group: sfirah-w256 - eval_n@0.05__MAX","Group: sfirah-w128 - eval_n@0.05","Group: sfirah-w128 - eval_n@0.05__MIN","Group: sfirah-w128 - eval_n@0.05__MAX","Group: sfirah-d18 - eval_n@0.05","Group: sfirah-d18 - eval_n@0.05__MIN","Group: sfirah-d18 - eval_n@0.05__MAX","Group: sfirah-d12 - eval_n@0.05","Group: sfirah-d12 - eval_n@0.05__MIN","Group: sfirah-d12 - eval_n@0.05__MAX","Group: sfirah-d6 - eval_n@0.05","Group: sfirah-d6 - eval_n@0.05__MIN","Group: sfirah-d6 - eval_n@0.05__MAX","Group: pythia-31m - eval_n@0.05","Group: pythia-31m - eval_n@0.05__MIN","Group: pythia-31m - eval_n@0.05__MAX","Group: pythia-14m - eval_n@0.05","Group: pythia-14m - eval_n@0.05__MIN","Group: pythia-14m - eval_n@0.05__MAX"
"116057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"116141","18","18","18","17.5","16","19","16.666666666666668","16","17","","","","15.5","15","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.5","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"117141","18","18","18","18","17","19","16.666666666666668","16","17","","","","15.5","15","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117154","","","","","","","","","","9","9","9","","","","8","8","8","9.5","9","10","10.333333333333334","10","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"118154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","8.25","4","10","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118204","27.5","27","28","26","21","31","18","16","20","","","","16","16","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"119057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3.8","2","5","4","4","4","4","4","4","4","4","4","4","4","4"
"119154","","","","","","","","","","10","10","10","","","","8","8","8","7.75","4","9","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"119204","30","30","30","27.5","23","32","19","16","22","","","","16","16","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"120154","","","","","","","","","","9","7","10","","","","8","8","8","9.25","9","10","10","9","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120204","31.5","31","32","28.5","24","33","19.666666666666668","16","23","","","","16.5","16","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4"
"121154","","","","","","","","","","9.333333333333334","8","11","","","","8","8","8","9.75","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121204","32","32","32","29.5","25","34","20.666666666666668","16","25","","","","16.5","16","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"122154","","","","","","","","","","8.666666666666666","7","10","","","","8","8","8","9.25","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122204","33","33","33","30","26","34","21.333333333333332","16","27","","","","16.5","16","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"123154","","","","","","","","","","8.666666666666666","7","10","","","","8","8","8","9.75","9","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123204","33","33","33","30.5","27","34","22.666666666666668","17","28","","","","16.5","16","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"124154","","","","","","","","","","8.666666666666666","6","10","","","","8","8","8","9.75","9","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124204","34","34","34","30.5","28","33","23.333333333333332","17","29","","","","17","16","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"125154","","","","","","","","","","9.333333333333334","8","10","","","","8","8","8","9.75","9","11","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125204","34","34","34","31.5","29","34","23.333333333333332","17","29","","","","18","17","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"126154","","","","","","","","","","9.333333333333334","8","10","","","","8","8","8","9.75","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126204","34","34","34","31","29","33","24.333333333333332","18","30","","","","18","18","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"127154","","","","","","","","","","9.333333333333334","8","10","","","","8","8","8","10","10","10","10","9","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127204","34.5","34","35","32.5","30","35","25","19","30","","","","17","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128057","","","","","","","4","4","4","","","","","","","","","","4.4","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"128154","","","","","","","","","","9","8","10","","","","8","8","8","9.75","9","10","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128204","34","34","34","32","30","34","25.333333333333332","19","30","","","","26","26","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"129154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","9.75","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129204","34.5","34","35","33","30","36","26","20","31","","","","26","26","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130057","","","","","","","4","4","4","","","","","","","","","","4","3","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"130154","","","","","","","","","","10","9","11","","","","8","8","8","9.5","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130204","35","35","35","33","31","35","26.333333333333332","20","31","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"131154","","","","","","","","","","9.333333333333334","8","10","","","","8","8","8","9.75","9","10","10","9","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131204","34.5","34","35","33.5","31","36","26.666666666666668","20","31","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"132154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","10","9","11","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132204","35.5","35","36","33.5","31","36","27","21","31","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"133154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","9.75","9","10","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133204","35","35","35","33.5","31","36","27","21","31","","","","26","26","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"134154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","8","5","9","10.333333333333334","10","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134204","35.5","35","36","34","32","36","27.666666666666668","22","31","","","","20","20","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"135154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","9.75","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135204","35.5","35","36","33.5","31","36","28","22","32","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"136154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","10","10","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136204","35.5","35","36","34","32","36","28.333333333333332","23","32","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"137154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","9.25","9","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137204","36","36","36","34","32","36","28.333333333333332","23","32","","","","16","16","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138057","","","","","","","4","4","4","","","","","","","","","","4.6","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"138154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.25","9","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138204","35.5","35","36","34","32","36","28.666666666666668","23","32","","","","19","19","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"139154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.5","9","10","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139204","35","35","35","34","32","36","29","24","32","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"140154","","","","","","","","","","9.666666666666666","9","10","","","","8","8","8","10","10","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140204","35.5","35","36","34","32","36","29","24","32","","","","25","25","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"141154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","10.25","9","11","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141204","36","35","37","34","32","36","29.333333333333332","25","32","","","","22","22","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4.2","4","5","4","4","4","4","4","4","4","4","4"
"142154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","10","10","10","9","8","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142204","35.5","35","36","34.5","32","37","29.666666666666668","25","32","","","","22","22","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"143154","","","","","","","","","","9","8","10","","","","8","8","8","9.5","9","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143204","35.5","35","36","34.5","33","36","29.666666666666668","25","32","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"144154","","","","","","","","","","8","5","10","","","","8","8","8","9.75","9","10","8","5","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144204","35.5","35","36","34","32","36","30","26","33","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.6","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"145154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.25","8","10","8","5","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145204","36","36","36","34.5","32","37","30","26","32","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146057","","","","","","","4","4","4","","","","","","","","","","4.4","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.8","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"146154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.25","8","10","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146204","35.5","35","36","34.5","32","37","30.666666666666668","27","33","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147057","","","","","","","4","4","4","","","","","","","","","","4.4","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"147154","","","","","","","","","","9","8","10","","","","8","8","8","9","8","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147204","36","35","37","35","33","37","30.666666666666668","27","33","","","","16","16","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.6","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"148154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.5","8","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148204","36","36","36","35","33","37","30.333333333333332","27","32","","","","21","21","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"149057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.6","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"149154","","","","","","","","","","9","9","9","","","","8","8","8","9.5","9","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"149204","35.5","35","36","34.5","33","36","31","28","33","","","","26","26","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"150154","","","","","","","","","","9","9","9","","","","8","8","8","9.25","8","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150204","36","35","37","34.5","33","36","31","28","33","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151057","","","","","","","4","4","4","","","","","","","","","","4.4","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3.6","2","4","4","4","4","4","4","4","4","4","4","4","4","4"
"151154","","","","","","","","","","9","9","9","","","","8","8","8","9.25","7","11","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151204","36.5","36","37","34.5","33","36","31","28","33","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"152154","","","","","","","","","","9","9","9","","","","8","8","8","9","8","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152204","36","36","36","35","33","37","31","28","33","","","","26","26","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"153057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"153154","","","","","","","","","","9","9","9","","","","8","8","8","9","8","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"153204","36.5","36","37","34.5","33","36","31.333333333333332","29","33","","","","22","22","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154057","","","","","","","4","4","4","","","","","","","","","","4.4","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.2","4","5","4","4","4","4","4","4","4","4","4","4","4","4"
"154154","","","","","","","","","","9.333333333333334","9","10","","","","8","8","8","9.333333333333334","9","10","9.333333333333334","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154204","36.5","36","37","35","33","37","31.333333333333332","29","33","","","","25","25","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.4","4","5","4.2","4","5","4","4","4","4","4","4","4","4","4"
"155154","","","","","","","","","","9","8","10","","","","8","8","8","9.666666666666666","9","10","9.666666666666666","9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155204","36","36","36","35","33","37","31.666666666666668","29","33","","","","17","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156057","","","","","","","4","4","4","","","","","","","","","","4.2","4","5","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"156154","","","","","","","","","","7.333333333333333","3","10","","","","8","8","8","10.333333333333334","10","11","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156204","36.5","36","37","35","33","37","31.666666666666668","29","33","","","","16","16","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157267","58.5","58","59","50","36","64","32.333333333333336","26","38","","","","28","28","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157279","","","","","","","","","","13.666666666666666","13","15","","","","9","9","9","17.333333333333332","17","18","17.666666666666668","17","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157307","","","","","","","4.4","4","5","","","","","","","","","","8.4","6","9","","","","4","4","4","6","6","6","6","6","6","6","6","6","4.8","4","5","8.6","8","9","8.8","8","9","6","6","6","4","4","4","4","4","4"
"158267","62","61","63","52.5","39","66","33","25","41","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158279","","","","","","","","","","14.333333333333334","14","15","","","","9","9","9","18","17","19","16.333333333333332","14","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158307","","","","","","","4.6","4","5","","","","","","","","","","8.6","7","9","","","","4.2","4","5","6.4","6","7","6.4","6","7","6","6","6","4.8","4","5","9","9","9","8.6","8","9","6.4","6","7","4.2","4","5","4.2","4","5"
"159267","64","63","65","56.5","46","67","34.333333333333336","27","42","","","","28","28","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"159279","","","","","","","","","","14.333333333333334","14","15","","","","9.666666666666666","9","10","18","17","19","18.333333333333332","18","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"159307","","","","","","","5","4","6","","","","","","","","","","9","8","10","","","","4.2","4","5","6.4","6","7","6.6","6","7","6","6","6","4.8","4","5","9","9","9","9","9","9","7","7","7","4.2","4","5","4.4","4","6"
"160267","64.5","64","65","61.5","56","67","35.333333333333336","27","44","","","","27","27","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160279","","","","","","","","","","14.333333333333334","14","15","","","","9.666666666666666","9","10","18.333333333333332","17","20","18","18","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160307","","","","","","","5","4","6","","","","","","","","","","9","9","9","","","","4.2","4","5","6.6","6","7","7","7","7","6.6","6","7","4.8","4","5","8.8","8","9","8.8","8","9","7","7","7","4.4","4","5","4.4","4","6"
"161267","66","66","66","63.5","59","68","35.666666666666664","26","46","","","","18","18","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161279","","","","","","","","","","14.666666666666666","14","16","","","","10.333333333333334","10","11","18.666666666666668","17","21","17.333333333333332","16","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161307","","","","","","","5.2","5","6","","","","","","","","","","8.2","5","9","","","","4.2","4","5","6.6","6","7","7","7","7","7","7","7","5.2","5","6","9","8","10","9","9","9","7","7","7","4.6","4","5","4.8","4","6"
"162267","66.5","66","67","64","60","68","36.333333333333336","26","47","","","","29","29","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162279","","","","","","","","","","12.666666666666666","8","16","","","","10.333333333333334","10","11","19","18","21","18.333333333333332","18","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162307","","","","","","","5.2","5","6","","","","","","","","","","9","8","10","","","","4.2","4","5","6.6","6","7","7","7","7","7","7","7","5.4","5","6","9","9","9","9","9","9","7","7","7","4.4","4","5","4.8","4","6"
"163267","67","67","67","65","62","68","37.666666666666664","28","48","","","","28","28","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"163279","","","","","","","","","","12.666666666666666","8","16","","","","10.666666666666666","10","11","18.333333333333332","17","20","19","17","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"163307","","","","","","","5.4","5","6","","","","","","","","","","9","8","10","","","","4.2","4","5","7","7","7","7","7","7","7","7","7","5.8","5","6","9","9","9","9","9","9","7","7","7","4.8","4","5","5","4","6"
"164267","67.5","67","68","65.5","62","69","37.666666666666664","27","49","","","","16","16","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164279","","","","","","","","","","12","6","16","","","","11","11","11","17.666666666666668","17","19","19","18","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164307","","","","","","","5.4","5","6","","","","","","","","","","9.2","8","10","","","","4.2","4","5","7","7","7","7.2","7","8","7","7","7","5.8","5","6","9.2","9","10","9","9","9","7","7","7","4.8","4","5","5.2","4","6"
